nombre,genero,anio_nacimiento,anio_muerte,ocupacion,ciudadania,numero_lectores
Maria Helena Doering,Female,1962,0,actor,Colombia,106931
Natalia Gaitan,Female,1991,0,football,Colombia,18261
Hugo Leon Ferrer,Male,1955,0,producer,US - Colombia,28960
Alberto Santofimio,Male,1942,0,politician,Colombia,650989
Natasha Klauss,Female,1975,0,actor,Colombia,856495
Jose Maria Restrepo Saenz,Male,1880,1949,historian,Colombia,1464
Oscar Jose Velez Isaza,Male,1954,0,priest,Colombia,472
Ugo Eugenio Puccini Banfi,Male,1935,0,priest,Colombia,3001
Ivan Molina,Male,1946,0,player,Colombia,20194
Carla Giraldo,Female,1986,0,actor,Colombia,311003
Edgar Bastidas Urresty,Male,1944,0,writer,Colombia,3359
Edgar Hernando Tirado Mazo,Male,1939,0,priest,Colombia,534
Edgar de Jesus Garcia Gil,Male,1946,0,priest,Colombia,2392
Andrea Lopez,Female,1977,0,actor,Colombia,326225
Zharick Leon,Female,1974,0,actor,Colombia,642607
Edwin Orozco,Male,1982,0,sport,Colombia,1463
Edwin Parra,Male,1984,0,sport,Colombia,1921
Edwin Sanchez (cyclist),Male,1983,0,sport,Colombia,2009
Edwin Avila,Male,1989,0,sport,Colombia,27333
Efrain Gonzalez Tellez,Male,1933,1965,band,Colombia,115828
Efrain Orozco,Male,1897,1975,composer,Colombia,3811
Alexander Giraldo,Male,1977,0,sport,Colombia,590
Jose Maria Quijano Wallis,Male,1847,1922,diplomat,Colombia,4550
Alejandra Azcarate,Female,1978,0,model,Colombia,286257
Luis Enrique Mendoza,Male,1965,0,boxer,Colombia,1089
Franceska Jaimes,Female,1985,0,actor,Colombia,1207580
Saul Balagura,Male,1943,0,artist,Colombia,2558
Ramon Dario Molina Jaramillo,Male,1935,2018,priest,Colombia,3350
Chepe Gonzalez,Male,1968,0,sport,Colombia,20030
Nicolas Gomez Davila,Male,1913,1994,writer,Colombia,252079
Jose Maria Obando,Male,1795,1861,politician,Colombia,158366
Ivan Valenciano,Male,1972,0,football,Colombia,263227
Jorge Noguera Cotes,Male,1963,0,lawyer,Colombia,14426
Carlos Vieco Ortiz,Male,1904,1979,composer,Colombia,16636
Jose de Jesus Quintero Diaz,Male,1949,0,priest,Colombia,422
Carlos Mortensen,Male,1972,0,player,Spain - Colombia,71562
Eladio Acosta Arteaga,Male,1916,2012,prelate,Colombia,3244
Jorge Eliecer Gaitan,Male,1905,1948,politician,Colombia,1720707
Elkin Fernando Alvarez Botero,Male,1968,0,priest,Colombia,3949
Victor Ortega,Male,1983,0,diver,Colombia,7649
Gina Paola Mendez,Female,1972,0,botanist,Colombia,866
Miryam Monsalve Benavides,Female,1955,0,botanist,Colombia,524
Maria Eugenia Morales-Puentes,Female,1969,0,botanist,Colombia,1509
Natalia Pabon-Mora,Female,1985,0,botanist,Colombia,1370
Paola Pedraza,Female,1976,0,botanist,Colombia,1192
Luz Amparo Triana-Moreno,Female,1977,0,botanist,Colombia,1100
Cristina Velez-Nauer,Female,1949,0,botanist,Colombia,820
Tressor Moreno,Male,1979,0,football,Colombia,117346
Jorge Silva,Male,1941,1988,film,Colombia,973
Jorge Bolano,Male,1977,0,football,Colombia,71230
Alejandro Obregon,Male,1920,1992,painter,Colombia - Spain,213940
Enrique Sarmiento Angulo,Male,1934,0,priest,Colombia,593
Noel Antonio Londono Buitrago,Male,2006,0,priest,Colombia,3020
Carlos Molinares,Male,1956,0,football,Colombia,138
Ignacio Jose Gomez Aristizabal,Male,1929,0,priest,Colombia,2019
Oscar Eduardo Sanchez,Male,1985,0,sport,Colombia,3684
Juan Carlos Barreto Barreto,Male,1968,0,priest,Colombia,7634
Sebastian Perez Cardona,Male,1994,0,football,Colombia,552217
Laura Ucros,Female,1995,0,player,Colombia,2936
Gilberto Rodriguez Orejuela,Male,1939,2022,drug traffick,Colombia,6631395
Jose Gonzalo Rodriguez Gacha,Male,1947,1989,criminal,Colombia,5778107
Hollman Morris,Male,1969,0,journalist,Colombia,58473
Timoleon Jimenez,Male,1959,0,politician,Colombia,565738
Robert Farah (tennis),Male,1987,0,player,Colombia,145150
Omar de Jesus Mejia Giraldo,Male,1966,0,priest,Colombia,2856
Ernesto Restrepo Tirado,Male,1862,1948,historian,Colombia,708
Augusto Aristizabal Ospina,Male,1928,2004,priest,Colombia,796
Dumas Guette,Male,1952,0,football,Colombia,986
Victor Julio Suarez Rojas,Male,1951,2010,guerilla,Colombia,190089
Luis Fernando Lopez,Male,1979,0,athletic,Colombia,22085
Julian Leal,Male,1990,0,driver,Colombia - Italy,18572
Libardo Nino,Male,1968,0,sport,Colombia,10073
Gilberto Almeida,Male,1928,2015,painter,Ecuador - Colombia,21465
Joaquin Mosquera,Male,1787,1878,politician,Colombia,72373
Jaime Castaneda,Male,1986,0,sport,Colombia,4251
Domingo Caycedo,Male,1783,1843,politician,Grenada - Colombia,75973
Luis Carlos Perea,Male,1963,0,football,Colombia,61404
Fredy Gonzalez,Male,1975,0,sport,Colombia,13116
Roberto Pineda Duque,Male,1910,1977,composer,Colombia,7686
Fabio Duarte,Male,1986,0,sport,Colombia,44860
Eulises Gonzalez Sanchez,Male,1938,0,priest,Colombia,435
Sebastian Cordero,Male,1972,0,film,Ecuador - Colombia,87538
Radamel Falcao,Male,1986,0,football,Colombia,11294338
Marlon Perez Arango,Male,1976,0,sport,Colombia,14358
Jesus Alfonso Guerrero Contreras,Male,1951,0,priest,Colombia,3725
Jose Rosario Bonano,Male,1956,0,politician,Honduras - Colombia,1002
Yolanda Rayo,Female,1968,0,singer,Colombia,47697
John Jairo Trellez,Male,1968,0,football,Colombia,80934
Jose Vicente Huertas Vargas,Male,1940,0,priest,Colombia,584
Jaime Alfonso Ruiz,Male,1984,0,football,Colombia,21246
Fabio Duque Jaramillo,Male,1950,2022,priest,Colombia,501
Fabio Gonzalez-Zuleta,Male,1920,2011,composer,Colombia,1621
Fabio Parra,Male,1959,0,sport,Colombia,94610
Fabio de Jesus Morales Grisales,Male,1934,0,priest,Colombia,668
Fabian Marulanda Lopez,Male,1933,0,priest,Colombia,1450
Fabian Puerta,Male,1991,0,sport,Colombia,28482
Juan Jose Barros,Male,1989,0,football,Colombia - Peru,7566
Juan Montalvo,Male,1832,1889,author,Ecuador - Colombia,784903
Nicolas Leoz,Male,1928,2019,football,Paraguay - Colombia,70660
Joe Arroyo,Male,1955,2011,singer,Colombia,547551
German Arciniegas,Male,1900,1999,author,Colombia,82466
John Restrepo,Male,1977,0,football,Colombia,59495
Fernando Garavito,Male,1944,2010,lawyer,Colombia,11950
Fernando Sabogal Viana,Male,1941,2013,priest,Colombia,1597
Fernando Torres Duran,Male,1937,2019,priest,Colombia,941
Ferney Bello,Male,1981,0,sport,Colombia,439
Diego Gutierrez (soccer),Male,1972,0,football,Colombia - US,11810
Fidel Leon Cadavid Marin,Male,1951,0,priest,Colombia,5233
Javier Alberto Gonzalez,Male,1979,0,sport,Colombia,2798
Jorge Ivan Castano Rubio,Male,1935,0,priest,Colombia,2967
Cesar Ham,Male,1973,0,politician,Honduras - Colombia,2320
Jose Rozo Contreras,Male,1894,1976,composer,Colombia,13004
Gustavo Moncayo,Male,1952,0,teacher,Colombia,30582
John Mosquera,Male,1988,0,football,Colombia,62779
Jaime Suaza,Male,1986,0,sport,Colombia,1499
Flavio Calle Zapata,Male,1944,0,priest,Colombia,3099
Omar Gomez Rey,Male,1957,0,painter,Colombia,2550
Luis Antonio Nova Rocha,Male,1943,2013,bishop,Colombia,1281
Francisco Antonio Ceballos Escobar,Male,1958,0,priest,Colombia,595
Francisco Antonio Nieto Sua,Male,1948,0,priest,Colombia,2064
Francisco Colorado,Male,1980,0,sport,Colombia,5260
Francisco Javier Munera Correa,Male,1956,0,priest,Colombia,504
Francisco Jose Urrutia Olano,Male,1870,1950,lawyer,Colombia,7643
Francisco Jose de Caldas,Male,1768,1816,botanist,Colombia,410319
Francisco Norden,Male,1929,0,film,Colombia,7843
Francisco Zumaque,Male,1945,0,composer,Colombia,16259
Oscar Collazos,Male,1942,2015,writer,Colombia,56474
Beto Perez,Male,1970,0,dancer,Colombia,422968
Jose Maria Gruesso,Male,1779,1835,writer,Colombia,3104
Jorge Mosquera,Male,1990,0,football,Colombia,787
Jean Pierre Rodriguez,Male,1993,0,football,Colombia,1155
Maria Elena Ibanez,Female,0,0,business,US - Colombia,3815
Alicia de Rojas,Female,1922,2013,actor,Colombia,8071
Alexander Escobar Ganan,Male,1965,0,football,Colombia,42150
Jhonatan Rojas,Male,1988,0,football,Colombia,3117
Gilberto Garcia (footballer born 1959),Male,1959,0,football,Colombia,246
Javier Naranjo Villegas,Male,1919,2014,priest,Colombia,24014
Ilona (singer),Female,1985,0,singer,Colombia,38980
Danny Mercer,Male,0,0,singer,Colombia,13599
Pastor Alape,Male,1959,0,politician,Colombia,133301
Eddy Villaraga,Male,1969,0,football,Colombia,3438
Hernan Dario Herrera,Male,1957,0,football,Colombia,22899
Guillermo Alberto Gonzalez Mosquera,Male,1941,2021,politician,Colombia,4497
Mario Coll,Male,1960,0,football,Colombia,1879
Galy Galiano,Male,1958,0,singer,Colombia,411156
Carlos Rendon Zipagauta,Male,1955,0,film,Colombia - Belgium,3426
Luis Augusto Castro Quiroga,Male,1942,0,priest,Colombia,11778
Dilson Herrera,Male,1994,0,baseball,Colombia,90309
Duber Quintero,Male,1990,0,sport,Colombia,2378
Ignacio Gomez,Male,1962,0,journalist,Colombia,7387
Fernando Laverde,Male,1933,2022,film,Colombia,444
Jose Francisco Socarras,Male,1906,1995,psychiatrist,Colombia,722
Jhovany Mina,Male,1991,0,football,Colombia,1102
Heiner Parra,Male,1991,0,sport,Colombia,5337
Jairo Arboleda,Male,1947,0,football,Colombia,15610
Vicky Colbert,Female,1982,0,politician,Colombia,5985
Roger Martinez,Male,1994,0,football,Colombia,765263
German Efromovich,Male,1950,0,entrepreneur,Bolivia - Colombia,261805
German Jaramillo,Male,1952,0,actor,Colombia,2975
Dayer Quintana,Male,1992,0,sport,Colombia,168137
Sebastian Henao,Male,1993,0,sport,Colombia,69837
Juan Carlos Spir,Male,1990,0,player,Colombia,3742
Paulina Vega,Female,1993,0,model,Colombia,1988423
Ana Maria Trujillo,Female,1970,0,journalist,Colombia,65512
Marco Tobon Mejia,Male,1876,1933,sculptor,Colombia,7552
Jimmy Medranda,Male,1994,0,football,Colombia,23475
Gilberto Jimenez Narvaez,Male,1937,2015,bishop,Colombia,7550
Nadya Ortiz,Female,1986,0,chess,Colombia,1546
Salvador Moreno,Male,1991,0,sport,Colombia,1720
